Vengeance Is Mine,"Richard E. Turley,Barbara Jones Brown",17 hrs and 29 mins
Happiness,Danielle Steel,6 hrs and 38 mins
Around the Way Girl,Taraji P. Henson,7 hrs and 27 mins
The Secret Wealth Advantage,Akhil Patel,11 hrs and 4 mins
Kingdom of Ash,Sarah J. Maas,33 hrs and 11 mins
Go Set a Watchman,Harper Lee,6 hrs and 57 mins
Circe,Madeline Miller,12 hrs and 8 mins
The Purpose Driven Life,Rick Warren,9 hrs and 38 mins
The Rise and Fall of the Third Reich,William L. Shirer,57 hrs and 11 mins
Children of Time,Adrian Tchaikovsky,16 hrs and 31 mins
The Immortal Life of Henrietta Lacks,Rebecca Skloot,12 hrs and 30 mins
A People's History of the United States,Howard Zinn,34 hrs and 8 mins
A Duet with the Siren Duke,Elise Kova,17 hrs and 38 mins
The Menopause Reset,Dr. Mindy Pelz,4 hrs and 52 mins
Unsheltered,Barbara Kingsolver,16 hrs and 38 mins
"Security Analysis, Seventh Edition","Benjamin Graham,David Dodd,Seth Klarman - editor",34 hrs and 53 mins
Shadows of You,Catherine Cowles,10 hrs
Courage Under Fire,Steven A. Sund,12 hrs and 3 mins
The In-Between,Hadley Vlahos R.N.,7 hrs and 19 mins
The Henry Huggins Audio Collection,"Beverly Cleary,Tracy Dockray",15 hrs and 26 mins
The Man God Has For You,Stephan Labossiere,2 hrs and 21 mins
Such a Fun Age,Kiley Reid,9 hrs and 58 mins
The Beantown Girls,Jane Healey,11 hrs and 13 mins
The Library of the Unwritten,A. J. Hackwith,13 hrs and 57 mins
Kings of the Wyld,Nicholas Eames,17 hrs and 49 mins
The Woman in the Window,A. J. Finn,13 hrs and 42 mins
After Burn,Autumn Jones Lake,8 hrs and 55 mins
The Science of Reading in Action,Malia Hollowell,2 hrs and 59 mins
Still Beating,Jennifer Hartmann,12 hrs and 7 mins
Make Your Bed,William H. McRaven,1 hr and 53 mins
The Bone Hacker,Kathy Reichs,9 hrs and 23 mins
Crook Manifesto,Colson Whitehead,10 hrs and 47 mins
Terms and Conditions,Lauren Asher,13 hrs and 12 mins
All Systems Red,Martha Wells,3 hrs and 17 mins
Unfu*k Yourself,Gary John Bishop,3 hrs and 24 mins
Rich Dad Poor Dad: 20th Anniversary Edition,Robert T. Kiyosaki,8 hrs and 22 mins
Radical Candor: Fully Revised & Updated Edition,Kim Scott,11 hrs and 55 mins
Stories I Only Tell My Friends,Rob Lowe,9 hrs and 10 mins
Wanderlust,Reid Mitenbuler,19 hrs and 13 mins
The CompTIA Network+ Computing Technology Industry Association Certification N10-008 Study Guide: Hi-Tech Edition,"SMG,Isaac Silverman",10 hrs and 1 min
System Collapse,Martha Wells,6 hrs and 45 mins
A Fire in the Flesh,Jennifer L. Armentrout,24 hrs
Bro Split,K.M. Neuhold,7 hrs and 22 mins
Verity,Colleen Hoover,8 hrs and 10 mins
"Red, White & Royal Blue",Casey McQuiston,12 hrs and 15 mins
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,12 hrs and 10 mins
12 Rules for Life,"Jordan B. Peterson,Norman Doidge MD",15 hrs and 40 mins
Never Split the Difference,Chris Voss,8 hrs and 7 mins
Think and Grow Rich,Napoleon Hill,9 hrs and 35 mins
The Nightingale,Kristin Hannah,17 hrs and 19 mins
The Song of Achilles,Madeline Miller,11 hrs and 15 mins
"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich (Expanded and Updated)",Timothy Ferriss,13 hrs and 1 min
The Great Alone,Kristin Hannah,15 hrs and 3 mins
The Total Money Makeover,Dave Ramsey,3 hrs and 41 mins
The Devil in the White City,Erik Larson,14 hrs and 58 mins
Why We Sleep,Matthew Walker,13 hrs and 52 mins
Pod,Laline Paull,9 hrs and 27 mins
Noble Revenge,L.T. Ryan,9 hrs and 13 mins
When an Adult You Love Has ADHD,Russell A. Barkley PhD,12 hrs and 15 mins
Nightstalkers: The Extinction Event,Jasper T. Scott,9 hrs and 27 mins
Pearl Sky,Elizabeth Hunter,5 hrs and 3 mins
The Echo of Old Books,Barbara Davis,13 hrs and 8 mins
Enemy Panther Next Door,Roxie Ray,9 hrs and 49 mins
Charis in the World of Wonders,Marly Youmans,11 hrs and 45 mins
When Things Fall Apart,Pema Chodron,5 hrs and 18 mins
Birds in Flight,Anni Taylor,11 hrs and 7 mins
Final Offer,Lauren Asher,15 hrs and 58 mins
Sunshine Nails,Mai Nguyen,10 hrs
Tides of Fire,James Rollins,15 hrs and 23 mins
The One Truth,Jon Gordon,2 hrs and 44 mins
The Staff Engineer's Path,Tanya Reilly,13 hrs and 52 mins
The Deal Dilemma,Meagan Brandy,13 hrs and 34 mins
The Umbra King,Jamie Applegate Hunter,11 hrs and 50 mins
The Keeper Origins: The Complete Trilogy,JA Andrews,75 hrs and 48 mins
If You Would Have Told Me,John Stamos,11 hrs and 15 mins
House of Pounding Hearts,Olivia Wildenstein,13 hrs and 52 mins
Pod,Laline Paull,9 hrs and 27 mins
Noble Revenge,L.T. Ryan,9 hrs and 13 mins
When an Adult You Love Has ADHD,Russell A. Barkley PhD,12 hrs and 15 mins
Nightstalkers: The Extinction Event,Jasper T. Scott,9 hrs and 27 mins
Pearl Sky,Elizabeth Hunter,5 hrs and 3 mins
The Echo of Old Books,Barbara Davis,13 hrs and 8 mins
Enemy Panther Next Door,Roxie Ray,9 hrs and 49 mins
Charis in the World of Wonders,Marly Youmans,11 hrs and 45 mins
When Things Fall Apart,Pema Chodron,5 hrs and 18 mins
Birds in Flight,Anni Taylor,11 hrs and 7 mins
Final Offer,Lauren Asher,15 hrs and 58 mins
Sunshine Nails,Mai Nguyen,10 hrs
Tides of Fire,James Rollins,15 hrs and 23 mins
The One Truth,Jon Gordon,2 hrs and 44 mins
The Staff Engineer's Path,Tanya Reilly,13 hrs and 52 mins
The Deal Dilemma,Meagan Brandy,13 hrs and 34 mins
The Umbra King,Jamie Applegate Hunter,11 hrs and 50 mins
The Keeper Origins: The Complete Trilogy,JA Andrews,75 hrs and 48 mins
If You Would Have Told Me,John Stamos,11 hrs and 15 mins
House of Pounding Hearts,Olivia Wildenstein,13 hrs and 52 mins
