Awakening Horde,M Zaugg,20 hrs and 33 mins
How to Bite Your Neighbor and Win a Wager,D. N. Bryn,8 hrs and 32 mins
Fanatical Prospecting,"Jeb Blount,Mike Weinberg - foreword",8 hrs and 21 mins
The Saad Truth About Happiness,Gad Saad,7 hrs and 10 mins
Las damas del poder,Francisco Cruz,11 hrs and 26 mins
Anastasia,Sophie Lark,23 hrs and 19 mins
Sage,Kris Michaels,6 hrs and 25 mins
Ascension,William Henry,8 hrs and 28 mins
Shattered Road,"Carol E. Leever,Camilla Ochlan",16 hrs and 15 mins
Knightmaster,Anna Hackett,5 hrs and 45 mins
Crushing Satan's Head,Fr. James Mawdsley,5 hrs and 50 mins
Dirty Laundry,"Richard Pink,Roxanne Emery",4 hrs and 2 mins
Mixed Up,Gordon Korman,5 hrs and 59 mins
Lord Manetu,Mary Rundle,10 hrs and 38 mins
Broken Beyond Repair,Emily Banting,8 hrs and 54 mins
Her Dying Kiss,Jennifer Chase,9 hrs and 46 mins
Illicit Heir,Maggie Cole,9 hrs and 4 mins
Witness to a Prosecution,Richard Sandler,10 hrs and 40 mins
Her Last Tear,Stacy Green,8 hrs and 32 mins
A Troubling Tail,Laurie Cass,9 hrs and 12 mins
E-Squared (10th Anniversary Edition),Pam Grout,4 hrs and 8 mins
The 16 Undeniable Laws of Communication,John Maxwell,8 hrs and 57 mins
The Summer Palace,Kristen Painter,9 hrs and 37 mins
Tom Lake,Ann Patchett,11 hrs and 22 mins
Fourth Wing,Rebecca Yarros,20 hrs and 43 mins
The Seven Primal Questions,Mike Foster,3 hrs and 15 mins
The Galileo Gambit,"Gary McAvoy,Ronald L. Moore",8 hrs and 30 mins
Red Company: First Strike!,B.V. Larson,9 hrs and 30 mins
Murder in Bermuda,"James Patterson,Aaron Tracy,Thaddeus McCants",4 hrs
The Obstacle Is the Way,Ryan Holiday,4 hrs and 38 mins
Cyberpunk 2077: No Coincidence,"Rafal Kosik,Stefan Kielbasiewicz - translator",14 hrs and 4 mins
Cyberpunk 2077: No Coincidence,"Rafal Kosik,Stefan Kielbasiewicz - translator",14 hrs and 4 mins
In the Likely Event,Rebecca Yarros,10 hrs and 30 mins
Homecoming,Kate Morton,17 hrs and 38 mins
Retribution,TurtleMe,25 hrs and 25 mins
Dark Healing Blind Curve,I. T. Lucas,8 hrs and 9 mins
One Last Rainy Day: The Legacy of a Prince,Kate Stewart,12 hrs and 36 mins
Rise of the Lycanthrope,Brock Walker,21 hrs and 59 mins
Best Things First,Bjorn Lomborg,7 hrs and 35 mins
The Armor of Light,Ken Follett,35 hrs
Burden of Time,Mark Tufo,Not Yet Known
One True Loves,Taylor Jenkins Reid,8 hrs and 53 mins
Like a River,Granger Smith,5 hrs and 56 mins
Fast Like a Girl,Dr. Mindy Pelz,8 hrs and 13 mins
The Warrior Poet Way,John Lovell,7 hrs and 46 mins
The Running Grave,Robert Galbraith,27 hrs
The Secret History,Donna Tartt,22 hrs and 3 mins
Cypress Ashes,Kai Butler,14 hrs and 38 mins
The Covenant of Water,Abraham Verghese,31 hrs and 16 mins
Murder at the Inn,Katie Gayle,7 hrs and 14 mins
Shadow of Deceit,Susan Sleeman,9 hrs and 31 mins
Cursed Cocktails,S.L. Rowland,7 hrs and 11 mins
Longshot,Rob Young,10 hrs and 28 mins
The People Code,Taylor Hartman PhD,11 hrs and 36 mins
Rise of the Weakest Summoner: Volume VI,J. R. Saileri,18 hrs and 10 mins
"Avatar, The Last Airbender: The Legacy of Yangchen",F. C. Yee,11 hrs and 2 mins
Shattered Truths,"H. Hunting,Helena Hunting",10 hrs and 52 mins
All the Black Girls Are Activists,EbonyJanice Moore,4 hrs and 52 mins
Into the Bright Sunshine,Samuel G. Freedman,17 hrs and 9 mins
Five Years After,William R. Forstchen,9 hrs
The Ritual,Shantel Tessier,16 hrs and 46 mins
"The SHTF Omnibus Series, Books 1-4",L.L. Akers,23 hrs and 26 mins
Magic Tides & Magic Claims,Ilona Andrews,12 hrs and 21 mins
Counting the Cost,"Jill Duggar,Derick Dillard - contributor,Craig Borlase - contributor",8 hrs
Tangled Vines,John Glatt,9 hrs and 10 mins
King of Pride,Ana Huang,11 hrs and 18 mins
Unified Modeling Language (UML) For the IT Business Analyst,Melissa Attaway,8 hrs and 6 mins
The Pucking Wrong Number,C.R. Jane,9 hrs and 45 mins
Adversity for Sale,Jeezy,7 hrs and 46 mins
A Soul of Ash and Blood,Jennifer L. Armentrout,19 hrs and 43 mins
Out of Nowhere,Sandra Brown,10 hrs
Ozark Dogs,Eli Cranor,7 hrs and 29 mins
Losers: Part 1,Harley LaRoux,16 hrs and 1 min
Everything,Dakota Krout,13 hrs and 42 mins
Blowback,Miles Taylor,12 hrs and 57 mins
All My Knotted-Up Life,Beth Moore,8 hrs and 29 mins
Profit First,Mike Michalowicz,7 hrs and 52 mins
Super Sales on Super Heroes 6,William D. Arand,13 hrs and 10 mins
Wine People,Michelle Wildgen,8 hrs and 37 mins
Fixing Avoidant and Anxious Attachment in Your Relationship,Robert J. Charles,3 hrs and 56 mins
Virgin Hearts,Emmy Sanders,9 hrs and 1 min
Reverse Meditation,Andrew Holecek,7 hrs and 21 mins
Truth to Power,André de Ruyter,13 hrs and 9 mins
Angel Abundance,Belinda J. Womack,8 hrs and 50 mins
The Leap to Leader,Adam Bryant,5 hrs and 21 mins
The Detective Up Late,Adrian McKinty,9 hrs and 15 mins
Start Your Notary Public & Loan Signing Agent Business,LSAUSA Education,3 hrs and 32 mins
UFO of God,Chris Bledsoe,7 hrs and 52 mins
The No Kiss Contract,Nan Campbell,12 hrs and 13 mins
The Shift,Tinx,5 hrs and 17 mins
Until I Get You,Claire Contreras,15 hrs and 12 mins
Ultra-Processed People,Chris van Tulleken,11 hrs and 35 mins
Hero Unbound,Janie Crouch,8 hrs and 43 mins
Nightborn: Coldfire Rising,C.S. Friedman,9 hrs and 52 mins
We Are Destiny,Alisha Williams,9 hrs and 23 mins
Malum Discordiae,Ashlyn Drewek,12 hrs and 7 mins
Saving 6,Chloe Walsh,21 hrs and 25 mins
Heir to Thorn and Flame,Ben Alderson,15 hrs and 21 mins
Lost Proof,Michael Stagg,11 hrs and 8 mins
My Fault,Mercedes Ron,12 hrs and 32 mins
Rich Nurse Poor Nurses,Patrice M. Foster,4 hrs and 7 mins
Judgment Prey,John Sandford,12 hrs
Magnolia Parks,Jessa Hastings,13 hrs and 42 mins
Shadow over Tokyo,John Corwin,11 hrs and 14 mins
The Runesmith's Trials,Andrew Karevik,12 hrs and 4 mins
Fact-Checking the Fact-Checkers,Matt Palumbo,9 hrs and 50 mins
The River's Edge,Joy Ellis,Not Yet Known
Those Empty Eyes,Charlie Donlea,10 hrs and 28 mins
Throttled,Lauren Asher,10 hrs and 21 mins
Corrupted Chaos,Shain Rose,10 hrs and 38 mins
Glimmers of You,Catherine Cowles,8 hrs and 30 mins
10x Is Easier than 2x,"Dan Sullivan,Dr. Benjamin Hardy",9 hrs and 58 mins
The Power of Money,Paul Sheard,9 hrs and 26 mins
Swimming in the Sacred,Rachel Harris PhD,7 hrs and 49 mins
"Sorry I'm Late, I Didn't Want to Come",Jessica Pan,8 hrs and 52 mins
The Rain King,Selena,12 hrs and 58 mins
Cruel Seduction,Katee Robert,11 hrs and 10 mins
Keep It in the Family,John Marrs,10 hrs and 3 mins
The New Millionaire's Playbook,Gordy Bal,5 hrs and 49 mins
Followed,Amanda Bucci,7 hrs and 57 mins
The Heaven & Earth Grocery Store,James McBride,12 hrs and 21 mins
American Prometheus,"Kai Bird,Martin J. Sherwin",26 hrs and 30 mins
The Paris Assignment,Rhys Bowen,11 hrs and 17 mins
The Coworker,Freida McFadden,8 hrs and 12 mins
Playground,Aron Beauregard,9 hrs and 56 mins
Too Late,Colleen Hoover,10 hrs and 19 mins
None of This Is True,Lisa Jewell,10 hrs and 13 mins
Cast in Shadows,Alice Winters,9 hrs and 41 mins
Does It Hurt?,H. D. Carlton,12 hrs and 7 mins
Paganism,Melissa Smith,9 hrs and 41 mins
Our Cosmic Origin,Ismael Perez,11 hrs and 54 mins
All-Knowing Novice,Kenneth Arant,9 hrs and 5 mins
The Three-Body Problem,Cixin Liu,13 hrs and 26 mins
Parallel Universes of Self,Frederick E. Dodson,14 hrs and 25 mins
The Courage to Be Disliked,"Ichiro Kishimi,Fumitake Koga",6 hrs and 29 mins
Raised to Stay,Natalie Runion,5 hrs and 4 mins
Legacy on Trial,Joe Cargile,12 hrs and 16 mins
"Love, Theoretically",Ali Hazelwood,12 hrs and 33 mins
USS Lincoln: Mercy Kill,Mark Wayne McGinnis,9 hrs and 53 mins
The Honeymoon Crashers,Christina Lauren,4 hrs and 47 mins
Hunger: The Complete Trilogy,Jeremy Robinson,25 hrs and 6 mins
Playing Hard to Get,Monica Murphy,10 hrs and 51 mins
Light Bringer,Pierce Brown,30 hrs and 8 mins
The Untethered Soul,Michael A. Singer,6 hrs and 11 mins
Cutting for Stone,Abraham Verghese,23 hrs and 54 mins
Born a Crime,Trevor Noah,8 hrs and 44 mins
To Kill a Mockingbird,Harper Lee,12 hrs and 17 mins
The Hitchhiker's Guide to the Galaxy,Douglas Adams,5 hrs and 51 mins
Educated,Tara Westover,12 hrs and 10 mins
The Conquered World,Elin Wyn,98 hrs and 10 mins
Alpha of Mortal Flesh,Ben Alderson,13 hrs and 29 mins
Icebreaker,Hannah Grace,13 hrs and 23 mins
"Pride High, Book 2",Jay Bell,14 hrs and 34 mins
Who Fears Death,Nnedi Okorafor,16 hrs and 59 mins
Rise of the Giants,Steve Gilmore,8 hrs and 55 mins
Mine to Take,Natasha Madison,7 hrs and 10 mins
The Narrow Road Between Desires,Patrick Rothfuss,8 hrs
The Sands of Saturn,Travis Starnes,8 hrs and 44 mins
Losing Our Religion,Russell Moore,6 hrs and 46 mins
American Playbook,Clay Travis,8 hrs and 39 mins
You Will Own Nothing,Carol Roth,11 hrs
The Wishing Game,Meg Shaffer,10 hrs and 38 mins
Just Another Missing Person,Gillian McAllister,10 hrs and 14 mins
Family Lore,Elizabeth Acevedo,9 hrs and 50 mins
The Slight Edge,Jeff Olson,9 hrs and 47 mins
Going Infinite,Michael Lewis,Not Yet Known
The Heat Will Kill You First,Jeff Goodell,10 hrs and 7 mins
Master Class 2,"Annabelle Hawthorne,Virgil Knightley",10 hrs and 47 mins
Elder Epoch,Zamil Akhtar,26 hrs and 44 mins
The Subtle Art of Not Giving a F*ck,Mark Manson,5 hrs and 17 mins
The Motherlode,Clover Hope,7 hrs and 58 mins
Obsessed,"James Patterson,James O. Born",7 hrs and 48 mins
Atomic Habits,James Clear,5 hrs and 35 mins
Can't Hurt Me,David Goggins,13 hrs and 37 mins
Double Pucked,Lauren Blakely,8 hrs and 29 mins
Lady Tan's Circle of Women,Lisa See,13 hrs and 15 mins
Disruptive Thinking,T. D. Jakes,8 hrs and 32 mins
Cold Pursuit,Nancy Mehl,9 hrs and 39 mins
The Setup,Dan Bilzerian,11 hrs and 29 mins
What Was Meant to Be,Q.B. Tyler,9 hrs and 2 mins
Inside Your Ride,Tonya Johnston,8 hrs and 13 mins
The Theory and Practice of Group Psychotherapy (Sixth Edition),"Irvin D. Yalom,Molyn Leszcz",30 hrs and 8 mins
Bitcoin is Venice,"Allen Farrington,Sacha Meyers",16 hrs and 42 mins
City of Last Chances,Adrian Tchaikovsky,19 hrs and 50 mins
The Greatness Mindset,Lewis Howes,9 hrs and 7 mins
Quantum Supremacy,Michio Kaku,10 hrs and 41 mins
Shadow of Anubis,Dan Willis,8 hrs and 34 mins
The 5AM Club,Robin Sharma,11 hrs and 4 mins
Kitchen Confidential,Anthony Bourdain,8 hrs and 19 mins
Zero to One,"Peter Thiel,Blake Masters",4 hrs and 50 mins
Born Standing Up,Steve Martin,4 hrs and 2 mins
America Falls Collection 1: Books 1-6,Scott Medbury,33 hrs and 15 mins
Dead Mountain,"Douglas Preston,Lincoln Child",12 hrs and 20 mins
The Mountain,"Ed Viesturs,David Roberts - contributor",12 hrs and 55 mins
Mystery in the Highlands,Lydia Travers,10 hrs and 3 mins
RBT Exam Study Guide and Practice Questions,Jennifer Meller,1 hr and 21 mins
"Iris: An Athlete Hero, Forced Proximity, International Race to Save Lives",Susan May Warren,8 hrs and 13 mins
Secret Sanctuary,Nance Sparks,7 hrs and 26 mins
Dead Fall,Brad Thor,11 hrs and 28 mins
The Wind Runner,pirateaba,37 hrs and 49 mins
Start Us Up,Lexi Blake,10 hrs and 27 mins
Rowan,"Robin D. Mahle,Elle Madison",32 hrs and 40 mins
Beyond the Thistles,Samantha Young,10 hrs and 12 mins
I Will Teach You to Be Rich,Ramit Sethi,12 hrs and 8 mins
Daisy Jones & The Six,Taylor Jenkins Reid,9 hrs and 3 mins
Pretty Girls,Karin Slaughter,20 hrs
Mindset,Carol S. Dweck PhD,10 hrs and 23 mins
Steve Jobs,Walter Isaacson,25 hrs and 18 mins
The Evangelical Imagination,Karen Swallow Prior,10 hrs and 19 mins
Yellowface,R. F. Kuang,8 hrs and 39 mins
Purity,Skyler Mason,6 hrs and 30 mins
What Never Happened,Rachel Howzell Hall,12 hrs and 34 mins
The Will of the Many,James Islington,28 hrs and 14 mins
Bloodshed,Molly Doyle,8 hrs and 32 mins
Easy Money,"Ben McKenzie,Jacob Silverman - contributor",10 hrs and 33 mins
The Many Lives of Mama Love,Lara Love Hardin,8 hrs and 59 mins
Phantom,Greer Rivers,12 hrs and 4 mins
Setting the Table,Danny Meyer,5 hrs and 33 mins
The Lost Flowers of Alice Hart,Holly Ringland,13 hrs and 43 mins
"Guns, Germs and Steel",Jared Diamond,16 hrs and 20 mins
The Ruthless Elimination of Hurry,"John Mark Comer,John Ortberg - foreword",5 hrs and 20 mins
Ego Is the Enemy,Ryan Holiday,6 hrs and 56 mins
Grit,Angela Duckworth,9 hrs and 22 mins
Extreme Ownership,"Jocko Willink,Leif Babin",9 hrs and 33 mins
Eragon,Christopher Paolini,16 hrs and 22 mins
Traction,Gino Wickman,6 hrs and 56 mins
Daring Greatly,Brené Brown,6 hrs and 30 mins
The Hit List,Elle Gray,7 hrs and 26 mins
Moonlight Relic,David North,15 hrs and 16 mins
Fear the Silence,Robert Bryndza,9 hrs and 36 mins
A Little High,Paige Dearth,16 hrs and 18 mins
Tower of Dawn,Sarah J. Maas,22 hrs and 39 mins
Blood Runs Cold,J M Dalgliesh,8 hrs and 21 mins
Sapiens,Yuval Noah Harari,15 hrs and 18 mins
Fortune Teller,Jana DeLeon,9 hrs and 6 mins
Trapped in a Video Game: The Complete Series,Dustin Brady,13 hrs and 27 mins
The Beauty Trials,Dhonielle Clayton,8 hrs and 34 mins
Fire and Fate,Serena Valentino,4 hrs and 5 mins
The Sullivanians,Alexander Stille,14 hrs and 48 mins
The Toxic War on Masculinity,Nancy R. Pearcey,14 hrs and 29 mins
The Octopus in the Parking Garage,Rob Verchick,10 hrs and 5 mins
Demon DIY 2,"Gwen Grayson,Kirk Mason",8 hrs and 12 mins
The Stopover,T L Swan,12 hrs and 58 mins
Maybe You Should Talk to Someone,Lori Gottlieb,14 hrs and 21 mins
The Millionaire Next Door,"Thomas J. Stanley Ph.D.,William D. Danko Ph.D.",8 hrs and 16 mins
Signature of You,K.C. Mills,9 hrs and 4 mins
Lessons in Birdwatching,Honey Watson,9 hrs and 55 mins
A Living Remedy,Nicole Chung,5 hrs and 58 mins
Resurgence,Mark Tufo,11 hrs and 47 mins
Tales from the Gas Station: Volume One,Jack Townsend,8 hrs and 31 mins
His Human Neighbor,Michele Mills,5 hrs and 49 mins
The Gift of Violence,"Matt Thornton,Peter Boghossian",9 hrs and 27 mins
Love in the Balance,Marianne K. Martin,6 hrs and 6 mins
Breaking Together,Jem Bendell,18 hrs and 13 mins
Good Fat Is Good for Women,Elizabeth Bright,6 hrs and 23 mins
The Royal,Susan Stoker,10 hrs and 36 mins
A Dynamic Career in Communications,yasiin bey,1 hr and 19 mins
Mockingjay,Suzanne Collins,11 hrs and 19 mins
Fahrenheit 451,Ray Bradbury,5 hrs and 1 min
Deming's Journey to Profound Knowledge,John Willis,9 hrs and 52 mins
This Must Be the Place,Jami Nato,4 hrs and 44 mins
On Writing,Stephen King,9 hrs and 7 mins
Good to Great,Jim Collins,10 hrs and 1 min
The Five Dysfunctions of a Team,Patrick Lencioni,3 hrs and 42 mins
The Way of the Superior Man,David Deida,5 hrs and 22 mins
Resurrection Walk,Michael Connelly,12 hrs
The American Story: The Beginnings,"David Barton,Tim Barton",9 hrs
The Language of Emotions (Revised and Updated),Karla McLaren M.Ed,20 hrs and 29 mins
The Five-Star Weekend,Elin Hilderbrand,12 hrs and 45 mins
Everyone Here Is Lying,Shari Lapena,9 hrs and 28 mins
The Collector,Daniel Silva,9 hrs and 12 mins
Be Useful,Arnold Schwarzenegger,11 hrs
The Serpent and the Wings of Night,Carissa Broadbent,14 hrs and 40 mins
Warriorborn : A Cinder Spires Novella,Jim Butcher,2 hrs and 44 mins
Mad World,Micha Frazer-Carroll,5 hrs and 33 mins
Pink Lemonade Cake Murder,Joanne Fluke,7 hrs and 51 mins
Yours Truly,Abby Jimenez,11 hrs and 23 mins
The Daddy Diaries,Andy Cohen,10 hrs and 32 mins
Grim and Bear It,Juliette Cross,10 hrs and 56 mins
Get Trump,Alan Dershowitz,5 hrs and 16 mins
"CompTIA A+ Certification All-in-One Exam Guide, Eleventh Edition (Exams 220-1101 & 220-1102)","Travis A. Everett,Andrew Hutz,Mike Meyers - editor",48 hrs and 27 mins
The Full Fee Agent,"Chris Voss,Steve Shull",5 hrs and 6 mins
Prequel,Rachel Maddow,15 hrs
The Infinite Spear,Marc Mulero,20 hrs and 53 mins
The Night Is Normal,Alicia Britt Chole,6 hrs and 52 mins
The Princess of Potential,Delemhach,14 hrs and 54 mins
The Hope We Keep,Kyla Stone,15 hrs and 26 mins
Neural Wraith 3,K.D. Robertson,14 hrs and 40 mins
Meet Me at the Lake,Carley Fortune,9 hrs and 56 mins
My Dark Romeo,"L.J. Shen,Parker S. Huntington",12 hrs and 29 mins
Scattered Minds,Gabor Maté MD,10 hrs and 59 mins
Implacable,Jack Campbell,10 hrs and 25 mins
Only Good Enemies,Jennifer Estep,14 hrs and 12 mins
The Art Thief,Michael Finkel,5 hrs and 39 mins
Gone Tonight,Sarah Pekkanen,10 hrs and 9 mins
Black Ties and White Lies,Kat Singleton,12 hrs and 39 mins
You Are the One You've Been Waiting For,Richard Schwartz PhD,6 hrs and 10 mins
Hidden Figures,Margot Lee Shetterly,10 hrs and 47 mins
There There,Tommy Orange,8 hrs
The Shadow of the Wind,Carlos Ruiz Zafón,18 hrs and 5 mins
Once an Eagle,Anton Myrer,41 hrs and 20 mins
Fierce Conversations,Susan Craig Scott M.D.,13 hrs and 33 mins
The Self-Driven Child,"Ned Johnson,William Stixrud PhD",11 hrs and 35 mins
The Art of Learning,Josh Waitzkin,7 hrs and 55 mins
How Women Rise,"Sally Helgesen,Marshall Goldsmith",7 hrs and 7 mins
The Other Einstein,Marie Benedict,8 hrs and 30 mins
The Marshmallow Test,Walter Mischel,7 hrs and 54 mins
The Alter Ego Effect,Todd Herman,7 hrs and 2 mins
Shadow Divers,Robert Kurson,15 hrs and 37 mins
The Third Door,Alex Banayan,8 hrs and 42 mins
Long Way Down,Jason Reynolds,1 hr and 43 mins
How to Hide an Empire,Daniel Immerwahr,17 hrs and 25 mins
The Kitchen House,Kathleen Grissom,12 hrs and 57 mins
Tuck Everlasting,Natalie Babbitt,3 hrs and 31 mins
The Sovereign Individual,"James Dale Davidson,Peter Thiel - preface,William Rees-Mogg",19 hrs and 20 mins
Trillion Dollar Coach,"Eric Schmidt,Jonathan Rosenberg,Alan Eagle",5 hrs and 40 mins
Emotional Agility,Susan David,9 hrs and 21 mins
The Downstairs Girl,Stacey Lee,10 hrs and 22 mins
The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer,Annie Barrows",8 hrs and 6 mins
The Wealthy Barber,David Chilton,6 hrs and 53 mins
The Feather Thief,Kirk Wallace Johnson,8 hrs and 4 mins
Presence,Amy Cuddy,9 hrs and 18 mins
Way of the Peaceful Warrior,Dan Millman,6 hrs and 1 min
American Nations,Colin Woodard,12 hrs and 51 mins
Winter’s Gifts,Ben Aaronovitch,5 hrs and 29 mins
The Democrat Party Hates America,Mark R. Levin,9 hrs and 30 mins
The Bastard Brigade,Sam Kean,14 hrs and 37 mins
Angle of Repose,Wallace Stegner,22 hrs and 9 mins
Estrogen Matters,"Avrum Bluming,Carol Tavris",8 hrs and 13 mins
Darkkin Knight,John Conroe,13 hrs and 24 mins
Killers of the Flower Moon,David Grann,9 hrs and 4 mins
Great CEOs Are Lazy,Jim Schleckser,5 hrs and 18 mins
The Silent Patient,Alex Michaelides,8 hrs and 51 mins
The Alchemist,Paulo Coelho,4 hrs
Chaos,"Tom O'Neill,Dan Piepenbring",16 hrs and 15 mins
Shoe Dog,Phil Knight,13 hrs and 21 mins
A Gentleman in Moscow,Amor Towles,17 hrs and 52 mins
